,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,year
251,29.3,35.0,24.1,1007.6,70.0,3.05,1.9,4.3,11.1,43.95833206176758,2013
255,30.6,36.0,25.8,1007.2,74.0,0.0,1.6,2.8,7.6,76.91666412353516,2013
256,31.2,36.4,25.8,1004.4,69.0,0.0,1.9,2.0,7.6,35.956520080566406,2013
257,31.6,36.8,25.9,1001.5,63.0,0.0,2.4,3.9,11.1,31.65217399597168,2013
261,29.9,36.2,23.4,1002.5,66.0,0.0,1.9,1.9,7.6,62.70833206176758,2013
262,28.7,34.1,25.2,1002.9,76.0,0.0,1.9,9.6,51.9,65.08333587646484,2013
263,26.3,34.1,24.0,1003.4,87.0,0.0,1.9,6.1,11.1,61.70833206176758,2013
267,28.6,35.6,25.3,1005.4,79.0,32.0,2.6,5.7,13.0,40.95833206176758,2013
268,28.6,34.5,24.0,1006.7,81.0,0.0,1.9,3.9,9.4,60.66666793823242,2013
269,29.0,34.2,24.3,1005.8,76.0,0.0,1.9,7.4,20.6,80.04166412353516,2013
273,29.1,34.0,23.8,1007.8,72.0,4.06,1.9,6.5,13.0,149.6666717529297,2013
274,28.9,34.9,25.6,1009.5,68.0,0.0,2.6,7.6,13.0,145.5833282470703,2013
275,27.9,33.7,23.2,1008.4,67.0,0.0,2.6,10.0,14.8,126.16666412353516,2013
279,29.4,34.5,24.3,1009.1,73.0,0.0,1.8,1.3,3.5,168.625,2013
280,30.1,34.5,24.8,1010.0,72.0,0.0,1.8,1.5,7.6,174.6666717529297,2013
281,30.1,35.6,24.8,1010.5,72.0,0.0,2.1,4.6,11.1,245.6666717529297,2013
285,27.4,33.1,22.8,1008.0,85.0,0.0,1.6,0.4,3.5,291.7083435058594,2013
286,27.5,32.5,23.0,1007.1,80.0,1.02,1.8,6.1,18.3,207.3333282470703,2013
287,26.6,32.6,21.1,1008.8,76.0,0.0,1.6,3.3,11.1,149.625,2013
291,25.6,33.2,19.5,1011.5,67.0,0.0,1.4,3.7,14.8,250.375,2013
292,25.0,32.8,17.6,1010.8,69.0,0.0,1.4,1.1,5.4,429.1666564941406,2013
293,24.8,32.3,17.3,1009.7,68.0,0.0,1.4,1.5,7.6,332.4583435058594,2013
297,24.1,30.0,17.5,1011.2,74.0,0.0,1.0,1.5,9.4,235.3333282470703,2013
298,24.3,31.4,18.5,1011.2,72.0,0.0,1.1,0.4,3.5,153.2916717529297,2013
299,23.0,31.0,18.0,1010.6,71.0,0.0,0.8,2.6,9.4,171.5416717529297,2013
303,24.1,30.1,16.7,1014.0,62.0,0.0,1.4,3.3,11.1,210.5416717529297,2013
304,23.8,30.5,18.4,1013.5,71.0,0.0,1.6,1.3,3.5,251.2083282470703,2013
305,22.4,28.6,16.3,1014.6,67.0,0.51,1.0,5.4,11.1,172.8333282470703,2013
306,20.9,28.1,13.6,1016.0,59.0,0.0,0.8,6.3,18.3,166.7083282470703,2013
310,20.1,27.1,14.0,1015.5,78.0,0.0,0.6,3.9,11.1,274.875,2013
311,18.9,27.1,14.5,1015.2,80.0,0.0,0.6,1.3,7.6,207.9166717529297,2013
312,19.1,25.6,12.4,1016.6,79.0,0.0,0.8,0.4,3.5,134.45832824707028,2013
316,17.8,26.2,11.0,1014.3,68.0,0.0,1.0,3.0,11.1,184.2083282470703,2013
317,17.6,25.6,11.2,1015.2,68.0,0.0,1.1,3.5,14.8,130.91667175292972,2013
318,17.0,26.6,10.0,1016.5,70.0,0.0,1.1,0.9,7.6,118.91666412353516,2013
322,17.8,26.9,11.4,1015.4,67.0,0.0,1.4,7.2,20.6,151.0416717529297,2013
323,18.2,28.1,10.4,1012.6,61.0,0.0,1.8,2.6,11.1,170.875,2013
324,18.0,28.5,10.2,1013.2,68.0,0.0,1.1,2.0,11.1,239.125,2013
328,21.1,28.8,13.8,1012.8,57.0,0.0,1.6,9.4,22.2,179.3333282470703,2013
329,21.3,28.8,15.0,1011.9,58.0,0.0,1.9,9.6,16.5,122.54166412353516,2013
330,19.0,28.8,12.5,1014.7,72.0,0.0,1.6,2.8,9.4,121.33333587646484,2013
334,18.1,28.0,10.0,1016.1,66.0,0.0,1.4,1.7,7.6,455.5833435058594,2013
335,17.2,28.4,9.8,1015.8,73.0,0.0,1.1,1.9,11.1,382.7083435058594,2013
336,17.4,28.4,9.2,1016.6,74.0,0.0,1.1,1.5,11.1,277.70834350585943,2013
340,16.0,26.1,9.1,1014.4,81.0,0.0,1.0,1.1,5.4,175.75,2013
342,16.2,25.3,9.5,1013.4,81.0,0.0,0.8,2.2,14.8,166.9166717529297,2013
346,16.5,24.5,10.8,1012.2,74.0,0.0,1.6,10.2,22.2,248.9090881347656,2013
347,15.4,24.9,8.2,1012.8,82.0,0.0,1.0,0.7,3.5,210.6875,2013
348,15.5,24.9,9.4,1015.1,88.0,0.0,0.6,2.6,7.6,108.08333587646484,2013
365,13.2,18.2,9.2,1021.0,92.0,0.0,0.8,7.6,11.1,255.875,2014
366,11.1,18.3,5.0,1020.2,80.0,0.0,1.1,8.0,14.8,226.5217437744141,2014
367,12.7,19.8,5.2,1017.9,78.0,0.0,1.3,5.4,14.8,239.13043212890625,2014
372,11.9,20.7,4.4,1017.9,78.0,0.0,0.8,1.9,7.6,264.91665649414057,2014
373,11.7,20.7,6.5,1017.3,89.0,0.0,0.3,0.9,7.6,422.0869445800781,2014
377,13.9,21.6,7.0,1019.6,74.0,0.0,0.8,1.1,9.4,323.1428527832031,2014
378,14.9,22.1,8.9,1017.2,78.0,0.0,1.0,2.8,7.6,263.60000610351557,2014
379,12.0,22.1,9.6,1019.7,95.0,0.0,0.3,0.4,3.5,376.9166564941406,2014
383,14.5,21.0,8.6,1023.2,88.0,0.0,1.3,3.5,7.6,114.33333587646484,2014
384,14.6,22.3,9.0,1021.2,86.0,0.0,1.0,4.4,9.4,154.56521606445312,2014
385,13.4,22.3,11.5,1020.6,98.0,5.08,1.4,6.9,13.0,184.875,2014
389,11.7,18.2,9.4,1019.9,96.0,0.0,0.5,8.3,11.1,202.9583282470703,2014
390,14.3,20.3,9.9,1019.1,88.0,0.0,0.6,8.9,14.8,308.875,2014
391,16.6,24.0,10.1,1018.8,75.0,0.0,1.3,10.0,14.8,323.875,2014
395,14.8,21.1,10.0,1019.3,86.0,0.0,0.5,3.0,11.1,209.6521759033203,2014
